Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FOS human	6/57	0.022918388380710707	0.10879331351807252	0	0	2.9215178299298996	11.031112903475952	CSTA;CXCL8;SPI1;STAR;PLAUR;FAS
CREB1 human	8/90	0.023861756001692783	0.11192299838889234	0	0	2.4250871080139373	9.058860192352514	CD4;BCL2L11;CCL5;SNAI1;HMOX1;MITF;AQP3;NDC80
HNF1A mouse	4/29	0.02491138332223824	0.1141288956856031	0	0	3.9683720930232558	14.652937827976608	BCL6;GLB1;PRDM1;CYP2E1
LEF1 human	4/29	0.02491138332223824	0.1141288956856031	0	0	3.9683720930232558	14.652937827976608	CTLA4;MITF;CD1D;ELANE
GATA1 mouse	3/17	0.02653205092409925	0.11879122800108075	0	0	5.3109677419354835	19.275635924673555	CCNA1;SPI1;FCER1G
RUNX1 mouse	3/17	0.02653205092409925	0.11879122800108075	0	0	5.3109677419354835	19.275635924673555	CSF1R;SPI1;CDKN2A
FOSL1 mouse	2/7	0.02786411761916274	0.12207471177235803	0	0	9.905670103092783	35.466415020066805	PRDM1;THBS1
YBX1 human	4/30	0.02788508644546249	0.12207471177235803	0	0	3.815543629497118	13.658361382064124	TOP2A;CDC20;FAS;KPNA2
BCL6 mouse	3/18	0.03093950952400998	0.13019244028760943	0	0	4.956645161290322	17.227917096482287	CSF1R;BCL6;PRDM1
RBPJ mouse	3/18	0.03093950952400998	0.13019244028760943	0	0	4.956645161290322	17.227917096482287	LFNG;TYROBP;PRDM1
CREB1 mouse	4/31	0.03106114057623169	0.13019244028760943	0	0	3.674035792898842	12.755509163304556	ENTPD1;NOCT;PDE3B;MITF
DNMT1 human	4/31	0.03106114057623169	0.13019244028760943	0	0	3.674035792898842	12.755509163304556	RB1;IL32;CDKN2A;VEGFA
PPARA mouse	5/46	0.03236334415467026	0.13422271154673768	0	0	3.026062537468842	10.381600048889801	CEBPD;CDKN2A;LPL;CD36;MPO
NR3C1 mouse	3/19	0.03570559134355623	0.14265569195358907	0	0	4.646612903225806	15.48459579338464	VDR;PTX3;BRCA1
SMARCA4 mouse	3/19	0.03570559134355623	0.14265569195358907	0	0	4.646612903225806	15.48459579338464	HMOX1;MITF;CALM1
FOXD3 human	2/8	0.03620702841461652	0.14265569195358907	0	0	8.254295532646049	27.39189643092303	MITF;NDRG1
MYBL2 human	2/8	0.03620702841461652	0.14265569195358907	0	0	8.254295532646049	27.39189643092303	CCNA1;MYBL2
RUNX3 mouse	2/8	0.03620702841461652	0.14265569195358907	0	0	8.254295532646049	27.39189643092303	CD4;THBS1
FOXO1 mouse	5/49	0.040988926621581226	0.158329775381402	0	0	2.819299070916147	9.006119308616222	BCL2L11;LPL;ADIPOR1;IL7R;CCR2
SMAD3 mouse	5/49	0.040988926621581226	0.158329775381402	0	0	2.819299070916147	9.006119308616222	PSME3;SNAI1;NEDD9;TNFSF13B;VEGFA
STAT1 mouse	4/34	0.04181712243287514	0.15996064309274569	0	0	3.3061154177433245	10.495096090119038	CEBPD;GFI1;CD36;UPP1
EWSR1 human	2/9	0.045371691467654046	0.16706959288089435	0	0	7.074742268041237	21.881236217765093	MITF;PHLDA1
SMAD7 human	2/9	0.045371691467654046	0.16706959288089435	0	0	7.074742268041237	21.881236217765093	CDK1;HMOX1
SP2 human	2/9	0.045371691467654046	0.16706959288089435	0	0	7.074742268041237	21.881236217765093	CD14;PAPSS2
ZNF148 human	2/9	0.045371691467654046	0.16706959288089435	0	0	7.074742268041237	21.881236217765093	CDKN2A;IRS2
PAX5 human	3/21	0.04629420781244619	0.1688881285009611	0	0	4.12989247311828	12.690079301358551	RB1;PRDM1;TIMP1
HDAC2 mouse	2/10	0.05528172351494454	0.19275220411405444	0	0	6.190077319587629	17.922210852183486	STAR;CCNE1
POU2F2 human	2/10	0.05528172351494454	0.19275220411405444	0	0	6.190077319587629	17.922210852183486	SPI1;HBB
PPARD human	2/10	0.05528172351494454	0.19275220411405444	0	0	6.190077319587629	17.922210852183486	LPL;TIMP1
TFAP2A mouse	2/10	0.05528172351494454	0.19275220411405444	0	0	6.190077319587629	17.922210852183486	KCTD13;VEGFA
ZBTB16 human	2/10	0.05528172351494454	0.19275220411405444	0	0	6.190077319587629	17.922210852183486	CCNA2;GFI1
IRF8 mouse	3/23	0.058246461068931	0.20130794439612995	0	0	3.716516129032258	10.566322730535871	SPI1;CD8A;CCL5
PPARA human	4/39	0.06383981425782277	0.21098356364245408	0	0	2.833074935400517	7.794860716348467	LPL;HMOX1;PLIN2;CD36
CEBPA mouse	3/24	0.06471313347333345	0.21098356364245408	0	0	3.5393548387096776	9.690014204629358	SPI1;PRTN3;ELANE
FLI1 human	3/24	0.06471313347333345	0.21098356364245408	0	0	3.5393548387096776	9.690014204629358	HMOX1;FOXM1;PHLDA1
HDAC3 human	3/24	0.06471313347333345	0.21098356364245408	0	0	3.5393548387096776	9.690014204629358	CDKN2A;ALOX5;VEGFA
MTA1 human	3/24	0.06471313347333345	0.21098356364245408	0	0	3.5393548387096776	9.690014204629358	CDKN2A;SNAI1;BRCA1
ID1 mouse	2/11	0.06586542722848186	0.21098356364245408	0	0	5.502004581901489	14.96623154604246	CDKN2A;THBS1
ID2 mouse	2/11	0.06586542722848186	0.21098356364245408	0	0	5.502004581901489	14.96623154604246	CCNA2;SPI1
IRF4 mouse	2/11	0.06586542722848186	0.21098356364245408	0	0	5.502004581901489	14.96623154604246	SPI1;PRDM1
PARP1 mouse	2/11	0.06586542722848186	0.21098356364245408	0	0	5.502004581901489	14.96623154604246	VCAM1;SH3BP2
KLF4 human	4/40	0.06884840910687895	0.21876026764605083	0	0	2.754234855010049	7.369914270992516	VDR;HBA2;CD14;VEGFA
BRCA1 human	5/57	0.0702048177004677	0.2200674504332934	0	0	2.3845656284207384	6.334213108012024	ASPM;BRCA2;BACH1;CTSD;VEGFA
CREM human	3/25	0.07149399404939481	0.2200674504332934	0	0	3.378299120234604	8.91243223050334	CCNA2;CCNA1;STAR
PARP1 human	3/25	0.07149399404939481	0.2200674504332934	0	0	3.378299120234604	8.91243223050334	SH3BP2;SNAI1;BRCA2
PGR human	3/25	0.07149399404939481	0.2200674504332934	0	0	3.378299120234604	8.91243223050334	IRS2;PLD1;VEGFA
BMI1 mouse	2/12	0.0770555430192478	0.22826980413220777	0	0	4.9515463917525775	12.691946213157909	CDKN2A;CDK1
CREB5 human	2/12	0.0770555430192478	0.22826980413220777	0	0	4.9515463917525775	12.691946213157909	TGFBR3;RASGRP3
ELF1 mouse	2/12	0.0770555430192478	0.22826980413220777	0	0	4.9515463917525775	12.691946213157909	CSF1R;FCER1G
FOXP3 mouse	2/12	0.0770555430192478	0.22826980413220777	0	0	4.9515463917525775	12.691946213157909	CTLA4;BRCA1
NR5A2 human	2/12	0.0770555430192478	0.22826980413220777	0	0	4.9515463917525775	12.691946213157909	STAR;CCNE1
VDR human	4/42	0.07945099638690539	0.2336096460928412	0	0	2.6090031279749764	6.607600052618186	CXCL8;PHB;CD14;PLD1
CEBPB human	5/60	0.08348514439801356	0.24365293994679513	0	0	2.254145595672116	5.597238665253697	CXCL8;STAR;HBB;PRDM1;S100A9
ERG human	3/27	0.08595565785578739	0.24901859702338405	0	0	3.096451612903226	7.598456067013028	CXCL8;HMOX1;ICAM1
EPAS1 mouse	2/13	0.08878901300642761	0.24987765088951772	0	0	4.501171508903468	10.89955243806204	VCAM1;CITED2
FLI1 mouse	2/13	0.08878901300642761	0.24987765088951772	0	0	4.501171508903468	10.89955243806204	RB1;UPP1
NFYC human	2/13	0.08878901300642761	0.24987765088951772	0	0	4.501171508903468	10.89955243806204	HBB;FAS
XBP1 mouse	2/13	0.08878901300642761	0.24987765088951772	0	0	4.501171508903468	10.89955243806204	PRDM1;VEGFA
CTNNB1 mouse	5/62	0.09302307436988257	0.25792894598690813	0	0	2.1748258096729534	5.1650105726412	CCNE1;FAS;MITF;GLUL;VEGFA
HDAC1 mouse	3/28	0.09361380526936004	0.25792894598690813	0	0	2.9724387096774194	7.040451192777696	STAR;CCL5;FAS
REL mouse	3/28	0.09361380526936004	0.25792894598690813	0	0	2.9724387096774194	7.040451192777696	CEBPD;WT1;CCL5
MYC human	7/100	0.09486819088299976	0.2595699111659855	0	0	1.8674671910519782	4.398383503542735	CCNA2;PCNA;CCNE1;FOXM1;NDRG1;CD33;VEGFA
MYCN human	4/45	0.0967682873741968	0.2618201453840068	0	0	2.4177223167580513	5.646435611191835	MCM10;MYBL2;NDRG1;CTSD
EGR2 mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	IL2RB;CBL
EZH2 mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	CCNA2;BCL2L11
MYOG mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	RB1;ITGA7
NFYB human	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	HBB;FAS
PAX5 mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	CSF1R;FLT3
POU2AF1 mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	SPI1;LGALS1
PROX1 mouse	2/14	0.10100675659484526	0.2618201453840068	0	0	4.12585910652921	9.458812013047362	CCNE1;GFI1
CTCF human	3/30	0.10972501066904873	0.2807250272961377	0	0	2.7519713261648744	6.08124554506072	BCL6;WT1;BRCA1
RUNX3 human	3/30	0.10972501066904873	0.2807250272961377	0	0	2.7519713261648744	6.08124554506072	JAG1;TIMP1;CD36
HOXA10 human	2/15	0.11365345707340059	0.281631837024653	0	0	3.808287073750991	8.281506061531537	WT1;SNAI1
IRF3 human	2/15	0.11365345707340059	0.281631837024653	0	0	3.808287073750991	8.281506061531537	CCL5;TLR4
NR4A1 human	2/15	0.11365345707340059	0.281631837024653	0	0	3.808287073750991	8.281506061531537	CCNA2;STAR
SF1 mouse	2/15	0.11365345707340059	0.281631837024653	0	0	3.808287073750991	8.281506061531537	VNN1;STAR
TP63 human	2/15	0.11365345707340059	0.281631837024653	0	0	3.808287073750991	8.281506061531537	VDR;BRCA1
MYC mouse	4/49	0.12232490908157621	0.30122508861338143	0	0	2.2023542922767727	4.627310630801038	CEBPD;CDKN2A;SNAI1;NDRG1
ATF3 human	2/16	0.12667735885306214	0.3080918480747314	0	0	3.536082474226804	7.305942102346349	CCL5;ADIPOR1
IKZF1 mouse	2/16	0.12667735885306214	0.3080918480747314	0	0	3.536082474226804	7.305942102346349	CD4;IL7R
EGR1 human	6/88	0.12791433428674037	0.30919170373604726	0	0	1.8141033741943637	3.7305122056673805	CXCL8;ALOX5;IL2RB;PLAUR;FAS;VEGFA
FOXM1 human	2/17	0.14003007468947248	0.3323605387207962	0	0	3.3001718213058417	6.487801381939631	CDKN2A;VEGFA
MYB mouse	2/17	0.14003007468947248	0.3323605387207962	0	0	3.3001718213058417	6.487801381939631	CSF1R;PRTN3
POU2F2 mouse	2/17	0.14003007468947248	0.3323605387207962	0	0	3.3001718213058417	6.487801381939631	LPL;CD36
EGR1 mouse	5/71	0.14227761429790056	0.3336748811510287	0	0	1.8773766121760946	3.6608376464996892	ITGA7;FAS;NDRG1;THBS1;ICAM1
TFAP2A human	5/71	0.14227761429790056	0.3336748811510287	0	0	1.8773766121760946	3.6608376464996892	PLAUR;HMOX1;FAS;PRKCA;VEGFA
HDAC9 human	2/18	0.15366640241844148	0.357043457360021	0	0	3.09375	5.7945047869750494	CDKN2A;CITED2
ATF4 human	3/35	0.15405428363249637	0.357043457360021	0	0	2.3213709677419354	4.342008901288717	CXCL8;NDC80;VEGFA
STAT6 human	3/36	0.16351238013923672	0.37295138710110476	0	0	2.250909090909091	4.076096029350272	CXCL8;CYP2E1;TLR4
GLI1 human	2/19	0.1675441510581105	0.37295138710110476	0	0	2.9116130988477864	5.2016211830669175	FAS;S100A9
PML human	2/19	0.1675441510581105	0.37295138710110476	0	0	2.9116130988477864	5.2016211830669175	HCK;FLT3
RUNX2 human	2/19	0.1675441510581105	0.37295138710110476	0	0	2.9116130988477864	5.2016211830669175	ELANE;VEGFA
SRF mouse	2/19	0.1675441510581105	0.37295138710110476	0	0	2.9116130988477864	5.2016211830669175	HMGXB4;KLF3
